lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
fasten,fastened,fastened,fasten,fasten,fasten,fastens,fastening,fastened,fastened,fastened
fear,feared,feared,fear,fear,fear,fears,fearing,feared,feared,feared
fence,fenced,fenced,fence,fence,fence,fences,fencing,fenced,fenced,fenced
fetch,fetched,fetched,fetch,fetch,fetch,fetches,fetching,fetched,fetched,fetched
file,filed,filed,file,file,file,files,filing,filed,filed,filed
fill,filled,filled,fill,fill,fill,fills,filling,filled,filled,filled
film,filmed,filmed,film,film,film,films,filming,filmed,filmed,filmed
fire,fired,fired,fire,fire,fire,fires,firing,fired,fired,fired
fit,fitted,fitted,fit,fit,fit,fits,fitting,fitted,fitted,fitted
fix,fixed,fixed,fix,fix,fix,fixes,fixing,fixed,fixed,fixed
flap,flapped,flapped,flap,flap,flap,flaps,flapping,flapped,flapped,flapped
flash,flashed,flashed,flash,flash,flash,flashes,flashing,flashed,flashed,flashed
float,floated,floated,float,float,float,floats,floating,floated,floated,floated
flood,flooded,flooded,flood,flood,flood,floods,flooding,flooded,flooded,flooded
flow,flowed,flowed,flow,flow,flow,flows,flowing,flowed,flowed,flowed
flower,flowered,flowered,flower,flower,flower,flowers,flowering,flowered,flowered,flowered
fold,folded,folded,fold,fold,fold,folds,folding,folded,folded,folded
follow,followed,followed,follow,follow,follow,follows,following,followed,followed,followed
fool,fooled,fooled,fool,fool,fool,fools,fooling,fooled,fooled,fooled
force,forced,forced,force,force,force,forces,forcing,forced,forced,forced
form,formed,formed,form,form,form,forms,forming,formed,formed,formed
found,founded,founded,found,found,found,founds,founding,founded,founded,founded
frame,framed,framed,frame,frame,frame,frames,framing,framed,framed,framed
frighten,frightened,frightened,frighten,frighten,frighten,frightens,frightening,frightened,frightened,frightened
fry,fried,fried,fry,fry,fry,fries,frying,fried,fried,fried
gather,gathered,gathered,gather,gather,gather,gathers,gathering,gathered,gathered,gathered
gaze,gazed,gazed,gaze,gaze,gaze,gazes,gazing,gazed,gazed,gazed
glow,glowed,glowed,glow,glow,glow,glows,glowing,glowed,glowed,glowed
glue,glued,glued,glue,glue,glue,glues,gluing,glued,glued,glued
grab,grabbed,grabbed,grab,grab,grab,grabs,grabbing,grabbed,grabbed,grabbed
grate,grated,grated,grate,grate,grate,grates,grating,grated,grated,grated
grease,greased,greased,grease,grease,grease,greases,greasing,greased,greased,greased
greet,greeted,greeted,greet,greet,greet,greets,greeting,greeted,greeted,greeted
grin,grinned,grinned,grin,grin,grin,grins,grinning,grinned,grinned,grinned
grip,gripped,gripped,grip,grip,grip,grips,gripping,gripped,gripped,gripped
groan,groaned,groaned,groan,groan,groan,groans,groaning,groaned,groaned,groaned
guarantee,guaranteed,guaranteed,guarantee,guarantee,guarantee,guarantees,guaranteeing,guaranteed,guaranteed,guaranteed
guard,guarded,guarded,guard,guard,guard,guards,guarding,guarded,guarded,guarded
guess,guessed,guessed,guess,guess,guess,guesses,guessing,guessed,guessed,guessed
guide,guided,guided,guide,guide,guide,guides,guiding,guided,guided,guided
hammer,hammered,hammered,hammer,hammer,hammer,hammers,hammering,hammered,hammered,hammered
hand,handed,handed,hand,hand,hand,hands,handing,handed,handed,handed
handle,handled,handled,handle,handle,handle,handles,handling,handled,handled,handled
hang,hanged,hanged,hang,hang,hang,hangs,hanging,hanged,hanged,hanged
happen,happened,happened,happen,happen,happen,happens,happening,happened,happened,happened
harass,harassed,harassed,harass,harass,harass,harasses,harassing,harassed,harassed,harassed
harm,harmed,harmed,harm,harm,harm,harms,harming,harmed,harmed,harmed
hate,hated,hated,hate,hate,hate,hates,hating,hated,hated,hated
haunt,haunted,haunted,haunt,haunt,haunt,haunts,haunting,haunted,haunted,haunted
head,headed,headed,head,head,head,heads,heading,headed,headed,headed
heal,healed,healed,heal,heal,heal,heals,healing,healed,healed,healed
heap,heaped,heaped,heap,heap,heap,heaps,heaping,heaped,heaped,heaped
heat,heated,heated,heat,heat,heat,heats,heating,heated,heated,heated
help,helped,helped,help,help,help,helps,helping,helped,helped,helped
hook,hooked,hooked,hook,hook,hook,hooks,hooking,hooked,hooked,hooked
hop,hopped,hopped,hop,hop,hop,hops,hopping,hopped,hopped,hopped
hope,hoped,hoped,hope,hope,hope,hopes,hoping,hoped,hoped,hoped
hover,hovered,hovered,hover,hover,hover,hovers,hovering,hovered,hovered,hovered
hug,hugged,hugged,hug,hug,hug,hugs,hugging,hugged,hugged,hugged
hum,hummed,hummed,hum,hum,hum,hums,humming,hummed,hummed,hummed
hunt,hunted,hunted,hunt,hunt,hunt,hunts,hunting,hunted,hunted,hunted
hurry,hurried,hurried,hurry,hurry,hurry,hurries,hurrying,hurried,hurried,hurried
identify,identified,identified,identify,identify,identify,identifies,identifying,identified,identified,identified
ignore,ignored,ignored,ignore,ignore,ignore,ignores,ignoring,ignored,ignored,ignored
imagine,imagined,imagined,imagine,imagine,imagine,imagines,imagining,imagined,imagined,imagined
impress,impressed,impressed,impress,impress,impress,impresses,impressing,impressed,impressed,impressed
improve,improved,improved,improve,improve,improve,improves,improving,improved,improved,improved
include,included,included,include,include,include,includes,including,included,included,included
increase,increased,increased,increase,increase,increase,increases,increasing,increased,increased,increased
influence,influenced,influenced,influence,influence,influence,influences,influencing,influenced,influenced,influenced
inform,informed,informed,inform,inform,inform,informs,informing,informed,informed,informed
inject,injected,injected,inject,inject,inject,injects,injecting,injected,injected,injected
injure,injured,injured,injure,injure,injure,injures,injuring,injured,injured,injured
instruct,instructed,instructed,instruct,instruct,instruct,instructs,instructing,instructed,instructed,instructed
intend,intended,intended,intend,intend,intend,intends,intending,intended,intended,intended
interest,interested,interested,interest,interest,interest,interests,interesting,interested,interested,interested
interfere,interfered,interfered,interfere,interfere,interfere,interferes,interfering,interfered,interfered,interfered
interrupt,interrupted,interrupted,interrupt,interrupt,interrupt,interrupts,interrupting,interrupted,interrupted,interrupted
introduce,introduced,introduced,introduce,introduce,introduce,introduces,introducing,introduced,introduced,introduced
invent,invented,invented,invent,invent,invent,invents,inventing,invented,invented,invented
invite,invited,invited,invite,invite,invite,invites,inviting,invited,invited,invited
irritate,irritated,irritated,irritate,irritate,irritate,irritates,irritating,irritated,irritated,irritated
itch,itched,itched,itch,itch,itch,itches,itching,itched,itched,itched
jail,jailed,jailed,jail,jail,jail,jails,jailing,jailed,jailed,jailed
jam,jammed,jammed,jam,jam,jam,jams,jamming,jammed,jammed,jammed
jog,jogged,jogged,jog,jog,jog,jogs,jogging,jogged,jogged,jogged
join,joined,joined,join,join,join,joins,joining,joined,joined,joined
joke,joked,joked,joke,joke,joke,jokes,joking,joked,joked,joked
judge,judged,judged,judge,judge,judge,judges,judging,judged,judged,judged
juggle,juggled,juggled,juggle,juggle,juggle,juggles,juggling,juggled,juggled,juggled
jump,jumped,jumped,jump,jump,jump,jumps,jumping,jumped,jumped,jumped
kick,kicked,kicked,kick,kick,kick,kicks,kicking,kicked,kicked,kicked
kill,killed,killed,kill,kill,kill,kills,killing,killed,killed,killed
kiss,kissed,kissed,kiss,kiss,kiss,kisses,kissing,kissed,kissed,kissed
kneel,kneeled,kneeled,kneel,kneel,kneel,kneels,kneeling,kneeled,kneeled,kneeled
knit,knitted,knitted,knit,knit,knit,knits,knitting,knitted,knitted,knitted
knock,knocked,knocked,knock,knock,knock,knocks,knocking,knocked,knocked,knocked
knot,knotted,knotted,knot,knot,knot,knots,knotting,knotted,knotted,knotted
label,labeled,labeled,label,label,label,labels,labeling,labeled,labeled,labeled
land,landed,landed,land,land,land,lands,landing,landed,landed,landed
last,lasted,lasted,last,last,last,lasts,lasting,lasted,lasted,lasted
laugh,laughed,laughed,laugh,laugh,laugh,laughs,laughing,laughed,laughed,laughed
launch,launched,launched,launch,launch,launch,launches,launching,launched,launched,launched
learn,learned,learned,learn,learn,learn,learns,learning,learned,learned,learned
level,leveled,leveled,level,level,level,levels,leveling,leveled,leveled,leveled
license,licensed,licensed,license,license,license,licenses,licensing,licensed,licensed,licensed
lick,licked,licked,lick,lick,lick,licks,licking,licked,licked,licked
lie,lied,lied,lie,lie,lie,lies,lying,lied,lied,lied
lighten,lightened,lightened,lighten,lighten,lighten,lightens,lightening,lightened,lightened,lightened
like,liked,liked,like,like,like,likes,liking,liked,liked,liked
list,listed,listed,list,list,list,lists,listing,listed,listed,listed
listen,listened,listened,listen,listen,listen,listens,listening,listened,listened,listened
live,lived,lived,live,live,live,lives,living,lived,lived,lived
load,loaded,loaded,load,load,load,loads,loading,loaded,loaded,loaded
lock,locked,locked,lock,lock,lock,locks,locking,locked,locked,locked
long,longed,longed,long,long,long,longs,longing,longed,longed,longed
look,looked,looked,look,look,look,looks,looking,looked,looked,looked
love,loved,loved,love,love,love,loves,loving,loved,loved,loved
man,manned,manned,man,man,man,mans,manning,manned,manned,manned
manage,managed,managed,manage,manage,manage,manages,managing,managed,managed,managed
march,marched,marched,march,march,march,marches,marching,marched,marched,marched
mark,marked,marked,mark,mark,mark,marks,marking,marked,marked,marked
marry,married,married,marry,marry,marry,marries,marrying,married,married,married
match,matched,matched,match,match,match,matches,matching,matched,matched,matched
mate,mated,mated,mate,mate,mate,mates,mating,mated,mated,mated
matter,mattered,mattered,matter,matter,matter,matters,mattering,mattered,mattered,mattered
measure,measured,measured,measure,measure,measure,measures,measuring,measured,measured,measured
meddle,meddled,meddled,meddle,meddle,meddle,meddles,meddling,meddled,meddled,meddled
melt,melted,melted,melt,melt,melt,melts,melting,melted,melted,melted
mend,mended,mended,mend,mend,mend,mends,mending,mended,mended,mended
mess,messed,messed,mess,mess,mess,messes,messing,messed,messed,messed
up,uped,uped,up,up,up,ups,uping,uped,uped,uped
milk,milked,milked,milk,milk,milk,milks,milking,milked,milked,milked
mine,mined,mined,mine,mine,mine,mines,mining,mined,mined,mined
miss,missed,missed,miss,miss,miss,misses,missing,missed,missed,missed
mix,mixed,mixed,mix,mix,mix,mixes,mixing,mixed,mixed,mixed
moan,moaned,moaned,moan,moan,moan,moans,moaning,moaned,moaned,moaned
moor,moored,moored,moor,moor,moor,moors,mooring,moored,moored,moored
mourn,mourned,mourned,mourn,mourn,mourn,mourns,mourning,mourned,mourned,mourned
move,moved,moved,move,move,move,moves,moving,moved,moved,moved
muddle,muddled,muddled,muddle,muddle,muddle,muddles,muddling,muddled,muddled,muddled
mug,mugged,mugged,mug,mug,mug,mugs,mugging,mugged,mugged,mugged
multiply,multiplied,multiplied,multiply,multiply,multiply,multiplies,multiplying,multiplied,multiplied,multiplied
murder,murdered,murdered,murder,murder,murder,murders,murdering,murdered,murdered,murdered
nail,nailed,nailed,nail,nail,nail,nails,nailing,nailed,nailed,nailed
name,named,named,name,name,name,names,naming,named,named,named
need,needed,needed,need,need,need,needs,needing,needed,needed,needed
nest,nested,nested,nest,nest,nest,nests,nesting,nested,nested,nested
nod,nodded,nodded,nod,nod,nod,nods,nodding,nodded,nodded,nodded
note,noted,noted,note,note,note,notes,noting,noted,noted,noted
notice,noticed,noticed,notice,notice,notice,notices,noticing,noticed,noticed,noticed
number,numbered,numbered,number,number,number,numbers,numbering,numbered,numbered,numbered
obey,obeyed,obeyed,obey,obey,obey,obeys,obeying,obeyed,obeyed,obeyed
object,objected,objected,object,object,object,objects,objecting,objected,objected,objected
observe,observed,observed,observe,observe,observe,observes,observing,observed,observed,observed
obtain,obtained,obtained,obtain,obtain,obtain,obtains,obtaining,obtained,obtained,obtained
occur,occured,occured,occur,occur,occur,occurs,occuring,occured,occured,occured
offend,offended,offended,offend,offend,offend,offends,offending,offended,offended,offended
offer,offered,offered,offer,offer,offer,offers,offering,offered,offered,offered
open,opened,opened,open,open,open,opens,opening,opened,opened,opened
order,ordered,ordered,order,order,order,orders,ordering,ordered,ordered,ordered
overflow,overflowed,overflowed,overflow,overflow,overflow,overflows,overflowing,overflowed,overflowed,overflowed
owe,owed,owed,owe,owe,owe,owes,owing,owed,owed,owed
own,owned,owned,own,own,own,owns,owning,owned,owned,owned
pack,packed,packed,pack,pack,pack,packs,packing,packed,packed,packed
paddle,paddled,paddled,paddle,paddle,paddle,paddles,paddling,paddled,paddled,paddled
paint,painted,painted,paint,paint,paint,paints,painting,painted,painted,painted
park,parked,parked,park,park,park,parks,parking,parked,parked,parked
part,parted,parted,part,part,part,parts,parting,parted,parted,parted
pass,passed,passed,pass,pass,pass,passes,passing,passed,passed,passed
paste,pasted,pasted,paste,paste,paste,pastes,pasting,pasted,pasted,pasted
pat,patted,patted,pat,pat,pat,pats,patting,patted,patted,patted
pause,paused,paused,pause,pause,pause,pauses,pausing,paused,paused,paused
peck,pecked,pecked,peck,peck,peck,pecks,pecking,pecked,pecked,pecked
pedal,pedaled,pedaled,pedal,pedal,pedal,pedals,pedaling,pedaled,pedaled,pedaled
peel,peeled,peeled,peel,peel,peel,peels,peeling,peeled,peeled,peeled
peep,peeped,peeped,peep,peep,peep,peeps,peeping,peeped,peeped,peeped
perform,performed,performed,perform,perform,perform,performs,performing,performed,performed,performed
permit,permited,permited,permit,permit,permit,permits,permiting,permited,permited,permited
phone,phoned,phoned,phone,phone,phone,phones,phoning,phoned,phoned,phoned
pick,picked,picked,pick,pick,pick,picks,picking,picked,picked,picked
pinch,pinched,pinched,pinch,pinch,pinch,pinches,pinching,pinched,pinched,pinched
pine,pined,pined,pine,pine,pine,pines,pining,pined,pined,pined
place,placed,placed,place,place,place,places,placing,placed,placed,placed
plan,planned,planned,plan,plan,plan,plans,planning,planned,planned,planned
plant,planted,planted,plant,plant,plant,plants,planting,planted,planted,planted
play,played,played,play,play,play,plays,playing,played,played,played
please,pleased,pleased,please,please,please,pleases,pleasing,pleased,pleased,pleased
plug,plugged,plugged,plug,plug,plug,plugs,plugging,plugged,plugged,plugged
point,pointed,pointed,point,point,point,points,pointing,pointed,pointed,pointed
poke,poked,poked,poke,poke,poke,pokes,poking,poked,poked,poked
polish,polished,polished,polish,polish,polish,polishes,polishing,polished,polished,polished
pop,popped,popped,pop,pop,pop,pops,popping,popped,popped,popped
possess,possessed,possessed,possess,possess,possess,possesses,possessing,possessed,possessed,possessed
post,posted,posted,post,post,post,posts,posting,posted,posted,posted
pour,poured,poured,pour,pour,pour,pours,pouring,poured,poured,poured
practise,practised,practised,practise,practise,practise,practises,practising,practised,practised,practised
practice,practiced,practiced,practice,practice,practice,practices,practicing,practiced,practiced,practiced
pray,prayed,prayed,pray,pray,pray,prays,praying,prayed,prayed,prayed
preach,preached,preached,preach,preach,preach,preaches,preaching,preached,preached,preached
precede,preceded,preceded,precede,precede,precede,precedes,preceding,preceded,preceded,preceded
prefer,prefered,prefered,prefer,prefer,prefer,prefers,prefering,prefered,prefered,prefered
prepare,prepared,prepared,prepare,prepare,prepare,prepares,preparing,prepared,prepared,prepared
present,presented,presented,present,present,present,presents,presenting,presented,presented,presented
preserve,preserved,preserved,preserve,preserve,preserve,preserves,preserving,preserved,preserved,preserved
press,pressed,pressed,press,press,press,presses,pressing,pressed,pressed,pressed
pretend,pretended,pretended,pretend,pretend,pretend,pretends,pretending,pretended,pretended,pretended
prevent,prevented,prevented,prevent,prevent,prevent,prevents,preventing,prevented,prevented,prevented
prick,pricked,pricked,prick,prick,prick,pricks,pricking,pricked,pricked,pricked
print,printed,printed,print,print,print,prints,printing,printed,printed,printed
produce,produced,produced,produce,produce,produce,produces,producing,produced,produced,produced
promise,promised,promised,promise,promise,promise,promises,promising,promised,promised,promised
protect,protected,protected,protect,protect,protect,protects,protecting,protected,protected,protected
provide,provided,provided,provide,provide,provide,provides,providing,provided,provided,provided
pull,pulled,pulled,pull,pull,pull,pulls,pulling,pulled,pulled,pulled
pump,pumped,pumped,pump,pump,pump,pumps,pumping,pumped,pumped,pumped
punch,punched,punched,punch,punch,punch,punches,punching,punched,punched,punched
puncture,punctured,punctured,puncture,puncture,puncture,punctures,puncturing,punctured,punctured,punctured
punish,punished,punished,punish,punish,punish,punishes,punishing,punished,punished,punished
push,pushed,pushed,push,push,push,pushes,pushing,pushed,pushed,pushed
question,questioned,questioned,question,question,question,questions,questioning,questioned,questioned,questioned
queue,queued,queued,queue,queue,queue,queues,queuing,queued,queued,queued
race,raced,raced,race,race,race,races,racing,raced,raced,raced
radiate,radiated,radiated,radiate,radiate,radiate,radiates,radiating,radiated,radiated,radiated
rain,rained,rained,rain,rain,rain,rains,raining,rained,rained,rained
raise,raised,raised,raise,raise,raise,raises,raising,raised,raised,raised
reach,reached,reached,reach,reach,reach,reaches,reaching,reached,reached,reached
receive,received,received,receive,receive,receive,receives,receiving,received,received,received
record,recorded,recorded,record,record,record,records,recording,recorded,recorded,recorded
reduce,reduced,reduced,reduce,reduce,reduce,reduces,reducing,reduced,reduced,reduced
reflect,reflected,reflected,reflect,reflect,reflect,reflects,reflecting,reflected,reflected,reflected
refuse,refused,refused,refuse,refuse,refuse,refuses,refusing,refused,refused,refused
regret,regreted,regreted,regret,regret,regret,regrets,regreting,regreted,regreted,regreted
reign,reigned,reigned,reign,reign,reign,reigns,reigning,reigned,reigned,reigned
reject,rejected,rejected,reject,reject,reject,rejects,rejecting,rejected,rejected,rejected
rejoice,rejoiced,rejoiced,rejoice,rejoice,rejoice,rejoices,rejoicing,rejoiced,rejoiced,rejoiced
relax,relaxed,relaxed,relax,relax,relax,relaxes,relaxing,relaxed,relaxed,relaxed
release,released,released,release,release,release,releases,releasing,released,released,released
rely,relied,relied,rely,rely,rely,relies,relying,relied,relied,relied
remain,remained,remained,remain,remain,remain,remains,remaining,remained,remained,remained
remember,remembered,remembered,remember,remember,remember,remembers,remembering,remembered,remembered,remembered
remind,reminded,reminded,remind,remind,remind,reminds,reminding,reminded,reminded,reminded
remove,removed,removed,remove,remove,remove,removes,removing,removed,removed,removed
repair,repaired,repaired,repair,repair,repair,repairs,repairing,repaired,repaired,repaired
repeat,repeated,repeated,repeat,repeat,repeat,repeats,repeating,repeated,repeated,repeated
replace,replaced,replaced,replace,replace,replace,replaces,replacing,replaced,replaced,replaced
reply,replied,replied,reply,reply,reply,replies,replying,replied,replied,replied
report,reported,reported,report,report,report,reports,reporting,reported,reported,reported
reproduce,reproduced,reproduced,reproduce,reproduce,reproduce,reproduces,reproducing,reproduced,reproduced,reproduced
request,requested,requested,request,request,request,requests,requesting,requested,requested,requested
rescue,rescued,rescued,rescue,rescue,rescue,rescues,rescuing,rescued,rescued,rescued
retire,retired,retired,retire,retire,retire,retires,retiring,retired,retired,retired
return,returned,returned,return,return,return,returns,returning,returned,returned,returned
rinse,rinsed,rinsed,rinse,rinse,rinse,rinses,rinsing,rinsed,rinsed,rinsed
risk,risked,risked,risk,risk,risk,risks,risking,risked,risked,risked
rob,robbed,robbed,rob,rob,rob,robs,robbing,robbed,robbed,robbed
rock,rocked,rocked,rock,rock,rock,rocks,rocking,rocked,rocked,rocked
roll,rolled,rolled,roll,roll,roll,rolls,rolling,rolled,rolled,rolled
rot,rotted,rotted,rot,rot,rot,rots,rotting,rotted,rotted,rotted
rub,rubbed,rubbed,rub,rub,rub,rubs,rubbing,rubbed,rubbed,rubbed
ruin,ruined,ruined,ruin,ruin,ruin,ruins,ruining,ruined,ruined,ruined
rule,ruled,ruled,rule,rule,rule,rules,ruling,ruled,ruled,ruled
rush,rushed,rushed,rush,rush,rush,rushes,rushing,rushed,rushed,rushed
sack,sacked,sacked,sack,sack,sack,sacks,sacking,sacked,sacked,sacked
sail,sailed,sailed,sail,sail,sail,sails,sailing,sailed,sailed,sailed
satisfy,satisfied,satisfied,satisfy,satisfy,satisfy,satisfies,satisfying,satisfied,satisfied,satisfied
save,saved,saved,save,save,save,saves,saving,saved,saved,saved
see,seed,seed,see,see,see,sees,seeing,seed,seed,seed
scare,scared,scared,scare,scare,scare,scares,scaring,scared,scared,scared
scatter,scattered,scattered,scatter,scatter,scatter,scatters,scattering,scattered,scattered,scattered
scold,scolded,scolded,scold,scold,scold,scolds,scolding,scolded,scolded,scolded
scorch,scorched,scorched,scorch,scorch,scorch,scorches,scorching,scorched,scorched,scorched
scrape,scraped,scraped,scrape,scrape,scrape,scrapes,scraping,scraped,scraped,scraped
scratch,scratched,scratched,scratch,scratch,scratch,scratches,scratching,scratched,scratched,scratched
scream,screamed,screamed,scream,scream,scream,screams,screaming,screamed,screamed,screamed
screw,screwed,screwed,screw,screw,screw,screws,screwing,screwed,screwed,screwed
scribble,scribbled,scribbled,scribble,scribble,scribble,scribbles,scribbling,scribbled,scribbled,scribbled
scrub,scrubbed,scrubbed,scrub,scrub,scrub,scrubs,scrubbing,scrubbed,scrubbed,scrubbed
seal,sealed,sealed,seal,seal,seal,seals,sealing,sealed,sealed,sealed
search,searched,searched,search,search,search,searches,searching,searched,searched,searched
separate,separated,separated,separate,separate,separate,separates,separating,separated,separated,separated
serve,served,served,serve,serve,serve,serves,serving,served,served,served
settle,settled,settled,settle,settle,settle,settles,settling,settled,settled,settled
shade,shaded,shaded,shade,shade,shade,shades,shading,shaded,shaded,shaded
share,shared,shared,share,share,share,shares,sharing,shared,shared,shared
shave,shaved,shaved,shave,shave,shave,shaves,shaving,shaved,shaved,shaved
shelter,sheltered,sheltered,shelter,shelter,shelter,shelters,sheltering,sheltered,sheltered,sheltered
shiver,shivered,shivered,shiver,shiver,shiver,shivers,shivering,shivered,shivered,shivered
shock,shocked,shocked,shock,shock,shock,shocks,shocking,shocked,shocked,shocked
shop,shopped,shopped,shop,shop,shop,shops,shopping,shopped,shopped,shopped
shrug,shrugged,shrugged,shrug,shrug,shrug,shrugs,shrugging,shrugged,shrugged,shrugged
sigh,sighed,sighed,sigh,sigh,sigh,sighs,sighing,sighed,sighed,sighed
sign,signed,signed,sign,sign,sign,signs,signing,signed,signed,signed
signal,signaled,signaled,signal,signal,signal,signals,signaling,signaled,signaled,signaled
sin,sinned,sinned,sin,sin,sin,sins,sinning,sinned,sinned,sinned
sip,sipped,sipped,sip,sip,sip,sips,sipping,sipped,sipped,sipped
ski,skied,skied,ski,ski,ski,skis,skiing,skied,skied,skied
skip,skipped,skipped,skip,skip,skip,skips,skipping,skipped,skipped,skipped
slap,slapped,slapped,slap,slap,slap,slaps,slapping,slapped,slapped,slapped
slip,slipped,slipped,slip,slip,slip,slips,slipping,slipped,slipped,slipped
slow,slowed,slowed,slow,slow,slow,slows,slowing,slowed,slowed,slowed
smash,smashed,smashed,smash,smash,smash,smashes,smashing,smashed,smashed,smashed
smell,smelled,smelled,smell,smell,smell,smells,smelling,smelled,smelled,smelled
smile,smiled,smiled,smile,smile,smile,smiles,smiling,smiled,smiled,smiled
smoke,smoked,smoked,smoke,smoke,smoke,smokes,smoking,smoked,smoked,smoked
snatch,snatched,snatched,snatch,snatch,snatch,snatches,snatching,snatched,snatched,snatched
sneeze,sneezed,sneezed,sneeze,sneeze,sneeze,sneezes,sneezing,sneezed,sneezed,sneezed
sniff,sniffed,sniffed,sniff,sniff,sniff,sniffs,sniffing,sniffed,sniffed,sniffed
snore,snored,snored,snore,snore,snore,snores,snoring,snored,snored,snored
snow,snowed,snowed,snow,snow,snow,snows,snowing,snowed,snowed,snowed
soak,soaked,soaked,soak,soak,soak,soaks,soaking,soaked,soaked,soaked
soothe,soothed,soothed,soothe,soothe,soothe,soothes,soothing,soothed,soothed,soothed
sound,sounded,sounded,sound,sound,sound,sounds,sounding,sounded,sounded,sounded
spare,spared,spared,spare,spare,spare,spares,sparing,spared,spared,spared
spark,sparked,sparked,spark,spark,spark,sparks,sparking,sparked,sparked,sparked
sparkle,sparkled,sparkled,sparkle,sparkle,sparkle,sparkles,sparkling,sparkled,sparkled,sparkled
spell,spelled,spelled,spell,spell,spell,spells,spelling,spelled,spelled,spelled
spill,spilled,spilled,spill,spill,spill,spills,spilling,spilled,spilled,spilled
spoil,spoiled,spoiled,spoil,spoil,spoil,spoils,spoiling,spoiled,spoiled,spoiled
spot,spotted,spotted,spot,spot,spot,spots,spotting,spotted,spotted,spotted
spray,sprayed,sprayed,spray,spray,spray,sprays,spraying,sprayed,sprayed,sprayed
sprout,sprouted,sprouted,sprout,sprout,sprout,sprouts,sprouting,sprouted,sprouted,sprouted
squash,squashed,squashed,squash,squash,squash,squashes,squashing,squashed,squashed,squashed
squeak,squeaked,squeaked,squeak,squeak,squeak,squeaks,squeaking,squeaked,squeaked,squeaked
squeal,squealed,squealed,squeal,squeal,squeal,squeals,squealing,squealed,squealed,squealed
squeeze,squeezed,squeezed,squeeze,squeeze,squeeze,squeezes,squeezing,squeezed,squeezed,squeezed
stain,stained,stained,stain,stain,stain,stains,staining,stained,stained,stained
stamp,stamped,stamped,stamp,stamp,stamp,stamps,stamping,stamped,stamped,stamped
stare,stared,stared,stare,stare,stare,stares,staring,stared,stared,stared
start,started,started,start,start,start,starts,starting,started,started,started
stay,stayed,stayed,stay,stay,stay,stays,staying,stayed,stayed,stayed
steer,steered,steered,steer,steer,steer,steers,steering,steered,steered,steered
step,stepped,stepped,step,step,step,steps,stepping,stepped,stepped,stepped
stir,stirred,stirred,stir,stir,stir,stirs,stirring,stirred,stirred,stirred
stitch,stitched,stitched,stitch,stitch,stitch,stitches,stitching,stitched,stitched,stitched
stop,stopped,stopped,stop,stop,stop,stops,stopping,stopped,stopped,stopped
store,stored,stored,store,store,store,stores,storing,stored,stored,stored
strap,strapped,strapped,strap,strap,strap,straps,strapping,strapped,strapped,strapped
strengthen,strengthened,strengthened,strengthen,strengthen,strengthen,strengthens,strengthening,strengthened,strengthened,strengthened
stretch,stretched,stretched,stretch,stretch,stretch,stretches,stretching,stretched,stretched,stretched
strip,stripped,stripped,strip,strip,strip,strips,stripping,stripped,stripped,stripped
stroke,stroked,stroked,stroke,stroke,stroke,strokes,stroking,stroked,stroked,stroked
stuff,stuffed,stuffed,stuff,stuff,stuff,stuffs,stuffing,stuffed,stuffed,stuffed
subtract,subtracted,subtracted,subtract,subtract,subtract,subtracts,subtracting,subtracted,subtracted,subtracted
succeed,succeeded,succeeded,succeed,succeed,succeed,succeeds,succeeding,succeeded,succeeded,succeeded
suck,sucked,sucked,suck,suck,suck,sucks,sucking,sucked,sucked,sucked
suffer,suffered,suffered,suffer,suffer,suffer,suffers,suffering,suffered,suffered,suffered
suggest,suggested,suggested,suggest,suggest,suggest,suggests,suggesting,suggested,suggested,suggested
suit,suited,suited,suit,suit,suit,suits,suiting,suited,suited,suited
supply,supplied,supplied,supply,supply,supply,supplies,supplying,supplied,supplied,supplied
support,supported,supported,support,support,support,supports,supporting,supported,supported,supported
suppose,supposed,supposed,suppose,suppose,suppose,supposes,supposing,supposed,supposed,supposed
surprise,surprised,surprised,surprise,surprise,surprise,surprises,surprising,surprised,surprised,surprised
surround,surrounded,surrounded,surround,surround,surround,surrounds,surrounding,surrounded,surrounded,surrounded
suspect,suspected,suspected,suspect,suspect,suspect,suspects,suspecting,suspected,suspected,suspected
suspend,suspended,suspended,suspend,suspend,suspend,suspends,suspending,suspended,suspended,suspended
switch,switched,switched,switch,switch,switch,switches,switching,switched,switched,switched
talk,talked,talked,talk,talk,talk,talks,talking,talked,talked,talked
tame,tamed,tamed,tame,tame,tame,tames,taming,tamed,tamed,tamed
tap,tapped,tapped,tap,tap,tap,taps,tapping,tapped,tapped,tapped
taste,tasted,tasted,taste,taste,taste,tastes,tasting,tasted,tasted,tasted
tease,teased,teased,tease,tease,tease,teases,teasing,teased,teased,teased
telephone,telephoned,telephoned,telephone,telephone,telephone,telephones,telephoning,telephoned,telephoned,telephoned
tempt,tempted,tempted,tempt,tempt,tempt,tempts,tempting,tempted,tempted,tempted
terrify,terrified,terrified,terrify,terrify,terrify,terrifies,terrifying,terrified,terrified,terrified
test,tested,tested,test,test,test,tests,testing,tested,tested,tested
thank,thanked,thanked,thank,thank,thank,thanks,thanking,thanked,thanked,thanked
